participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,-0.239814829,0.37037037,1,0,0,20.9973,Pumice_06,8,06,6,3,20.997,0.3648149,-0.400000042,1,0,0,5.3711,Pumice_rect,8,5.371,1,0,0,0,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,0.231481481,0.12037037,1,0,0,6.5233,Diorite_09,3,09,4,6,6.523,-0.087962963,-0.417592578,1,0,0,6.1348,Pegmatite_rect,6,6.135,0,1,0,1,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,-0.390740748,0.208333333,1,0,0,4.894,Peridotite_14,7,14,5,2,4.894,0.127777806,-0.242592635,1,0,0,4.5019,Diorite_rect,3,4.502,0,2,0,2,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.407407407,-0.389814801,1,0,0,4.6193,Obsidian_14,5,14,1,7,4.619,-0.371296282,-0.410185213,1,0,0,4.8791,Obsidian_rect,5,4.879,1,3,0,3,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,-0.080555527,-0.248148176,1,0,0,3.5606,Pegmatite_13,6,13,2,4,3.561,-0.377777771,-0.261111153,1,0,0,6.1479,Andesite_rect,1,6.148,0,4,0,4,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,-0.541666667,0.081481474,1,0,0,2.0477,Gabbro_16,4,16,4,1,2.048,-0.084259245,-0.260185171,1,0,0,5.2857,Basalt_rect,2,5.286,0,5,0,5,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,-0.060185185,0.267592589,1,0,0,7.9603,Andesite_11,1,11,5,4,7.96,0.17777782,-0.395370413,1,0,0,4.947,Peridotite_rect,7,4.947,0,6,0,6,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.562037009,0.299999996,1,0,0,4.6486,Gabbro_11,4,11,5,8,4.649,-0.195370356,-0.393518519,1,0,0,19.6326,Pegmatite_rect,6,19.633,0,7,0,7,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,-0.09629631,0.424999996,1,0,0,4.944,Pegmatite_09,6,09,6,4,4.944,-0.157407407,-0.252777806,1,0,0,5.2065,Basalt_rect,2,5.207,0,8,0,8,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,10,-0.542592578,-0.255555541,1,0,0,2.4058,Basalt_16,2,16,2,1,2.406,-0.150925884,-0.237963005,1,0,0,6.4779,Basalt_rect,2,6.478,1,9,0,9,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,11,0.424074102,-0.100000028,1,0,0,2.8055,Pegmatite_03,6,03,3,7,2.805,-0.142592607,-0.39907406,1,0,0,3.6273,Pegmatite_rect,6,3.627,1,10,0,10,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,12,-0.38703703,-0.09629631,1,0,0,4.9649,Peridotite_16,7,16,3,2,4.965,0.094444487,-0.248148176,1,0,0,3.1921,Diorite_rect,3,3.192,0,11,0,11,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,13,0.415740826,0.077777757,1,0,0,1.7108,Basalt_12,2,12,4,7,1.711,0.405555584,-0.406481496,1,0,0,3.8744,Pumice_rect,8,3.874,0,12,0,12,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,14,0.584259316,-0.106481481,1,0,0,2.0252,Diorite_11,3,11,3,8,2.025,0.073148162,-0.389814801,1,0,0,4.1108,Peridotite_rect,7,4.111,0,13,0,13,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,15,-0.383333312,-0.39907406,1,0,0,2.1389,Pumice_10,8,10,1,2,2.139,0.164814843,-0.240740741,1,0,0,3.8936,Diorite_rect,3,3.894,0,14,0,14,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,16,0.540740826,-0.268518519,1,0,0,2.0863,Pegmatite_06,6,06,2,8,2.086,0.145370413,-0.407407407,1,0,0,3.3725,Peridotite_rect,7,3.373,0,15,0,15,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,1,,,,,,,,8,13,,,,,,,,,,,3,4.049,0,,,,,,0.133333347,-0.25462963,1,0,0,4.0492,Diorite_rect,0,0,0,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,2,,,,,,,,8,02,,,,,,,,,,,8,4.099,1,,,,,,0.3648149,-0.405555584,1,0,0,4.0993,Pumice_rect,1,0,1,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,3,,,,,,,,6,08,,,,,,,,,,,6,4.285,1,,,,,,-0.070370356,-0.411111125,1,0,0,4.2846,Pegmatite_rect,2,0,2,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,4,,,,,,,,2,09,,,,,,,,,,,2,4.375,1,,,,,,-0.156481496,-0.237963005,1,0,0,4.3751,Basalt_rect,3,0,3,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,5,,,,,,,,2,10,,,,,,,,,,,2,7.125,1,,,,,,-0.146296254,-0.262962977,1,0,0,7.125,Basalt_rect,4,0,4,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,6,,,,,,,,3,10,,,,,,,,,,,7,5.35,0,,,,,,0.088888875,-0.408333319,1,0,0,5.3498,Peridotite_rect,5,0,5,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,7,,,,,,,,5,02,,,,,,,,,,,5,2.562,1,,,,,,-0.388888889,-0.385185171,1,0,0,2.5618,Obsidian_rect,6,0,6,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,8,,,,,,,,1,01,,,,,,,,,,,1,8.942,1,,,,,,-0.381481489,-0.237963005,1,0,0,8.9417,Andesite_rect,7,0,7,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,9,,,,,,,,5,16,,,,,,,,,,,5,1.784,1,,,,,,-0.39444443,-0.410185213,1,0,0,1.784,Obsidian_rect,8,0,8,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,10,,,,,,,,1,04,,,,,,,,,,,3,99.371,0,,,,,,0.093518504,-0.253703718,1,0,0,99.3708,Diorite_rect,9,0,9,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,11,,,,,,,,7,02,,,,,,,,,,,7,26.511,1,,,,,,0.051851838,-0.407407407,1,0,0,26.5113,Peridotite_rect,10,0,10,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,12,,,,,,,,6,10,,,,,,,,,,,6,5.552,1,,,,,,-0.081481439,-0.418518561,1,0,0,5.5518,Pegmatite_rect,11,0,11,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,13,,,,,,,,7,15,,,,,,,,,,,4,22.394,0,,,,,,0.372222194,-0.248148176,1,0,0,22.3945,Gabbro_rect,12,0,12,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,14,,,,,,,,4,08,,,,,,,,,,,1,9.076,0,,,,,,-0.372222229,-0.266666695,1,0,0,9.0762,Andesite_rect,13,0,13,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,15,,,,,,,,3,12,,,,,,,,,,,7,12.876,0,,,,,,0.100000028,-0.405555584,1,0,0,12.8761,Peridotite_rect,14,0,14,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,16,,,,,,,,4,01,,,,,,,,,,,3,5.825,0,,,,,,0.084259245,-0.270370413,1,0,0,5.8252,Diorite_rect,15,0,15,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,1,0.244444459,0.386111109,1,0,0,3.9782,Diorite_13,3,13,6,6,3.978,0.349074046,-0.240740741,1,0,0,4.7317,Gabbro_rect,4,4.732,0,0,0,0,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,2,0.541666667,-0.405555584,1,0,0,5.3647,Diorite_15,3,15,1,8,5.365,0.169444473,-0.408333319,1,0,0,15.6357,Peridotite_rect,7,15.636,0,1,0,1,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,3,-0.227777764,-0.280555584,1,0,0,5.2612,Diorite_16,3,16,2,3,5.261,0.146296325,-0.264814801,1,0,0,2.235,Diorite_rect,3,2.235,1,2,0,2,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,4,-0.512962942,-0.228703746,1,0,0,6.5619,Basalt_16,2,16,2,1,6.562,-0.104629587,-0.249074088,1,0,0,5.449,Basalt_rect,2,5.449,1,3,0,3,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,5,-0.383333312,-0.272222236,1,0,0,3.3607,Gabbro_09,4,09,2,2,3.361,-0.329629616,-0.246296282,1,0,0,2.4528,Andesite_rect,1,2.453,0,4,0,4,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,6,-0.557407414,-0.125925912,1,0,0,8.1073,Gabbro_14,4,14,3,1,8.107,0.375925982,-0.241666653,1,0,0,5.1025,Gabbro_rect,4,5.102,1,5,0,5,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,7,0.570370427,-0.10092594,1,0,0,8.7582,Diorite_11,3,11,3,8,8.758,0.121296282,-0.250925912,1,0,0,4.8693,Diorite_rect,3,4.869,1,6,0,6,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,8,-0.252777735,-0.072222215,1,0,0,4.4778,Andesite_14,1,14,3,3,4.478,0.125,-0.234259288,1,0,0,4.9143,Diorite_rect,3,4.914,0,7,0,7,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,9,-0.372222229,0.079629616,1,0,0,4.3108,Pumice_03,8,03,4,2,4.311,0.339814787,-0.421296296,1,0,0,5.536,Pumice_rect,8,5.536,1,8,0,8,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,10,0.225000028,-0.101851852,1,0,0,3.5438,Peridotite_04,7,04,3,6,3.544,-0.330555563,-0.251851894,1,0,0,6.5307,Andesite_rect,1,6.531,0,9,0,9,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,11,0.126851894,-0.414814843,1,0,0,8.2447,Pegmatite_05,6,05,1,5,8.245,0.132407436,-0.23055557,1,0,0,13.3476,Diorite_rect,3,13.348,0,10,0,10,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,12,-0.106481481,-0.275925954,1,0,0,2.2768,Pegmatite_13,6,13,2,4,2.277,-0.087962963,-0.410185213,1,0,0,3.231,Pegmatite_rect,6,3.231,1,11,0,11,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,13,0.384259259,-0.260185171,1,0,0,3.3476,Basalt_06,2,06,2,7,3.348,-0.107407393,-0.256481524,1,0,0,16.9748,Basalt_rect,2,16.975,1,12,0,12,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,14,0.080555598,0.260185189,1,0,0,7.545,Peridotite_05,7,05,5,5,7.545,0.136111153,-0.407407407,1,0,0,21.0183,Peridotite_rect,7,21.018,1,13,0,13,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,15,0.396296325,-0.09629631,1,0,0,15.0623,Pegmatite_03,6,03,3,7,15.062,-0.107407393,-0.402777778,1,0,0,5.1149,Pegmatite_rect,6,5.115,1,14,0,14,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,16,-0.554629608,-0.09629631,1,0,0,7.5235,Gabbro_14,4,14,3,1,7.523,-0.457407386,-0.237963005,1,0,0,5.1464,Andesite_rect,1,5.146,0,15,0,15,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,1,,,,,,,,4,03,,,,,,,,,,,7,11.972,0,,,,,,0.095370399,-0.395370413,1,0,0,11.9721,Peridotite_rect,0,0,0,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,2,,,,,,,,7,08,,,,,,,,,,,3,13.608,0,,,,,,0.077777792,-0.267592607,1,0,0,13.6084,Diorite_rect,1,0,1,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,3,,,,,,,,7,13,,,,,,,,,,,6,7.392,0,,,,,,-0.14444443,-0.413888931,1,0,0,7.3917,Pegmatite_rect,2,0,2,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,4,,,,,,,,6,11,,,,,,,,,,,6,3.767,1,,,,,,-0.161111125,-0.380555541,1,0,0,3.7675,Pegmatite_rect,3,0,3,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,5,,,,,,,,2,05,,,,,,,,,,,2,3.386,1,,,,,,-0.199999986,-0.262037065,1,0,0,3.3856,Basalt_rect,4,0,4,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,6,,,,,,,,2,14,,,,,,,,,,,8,2.637,0,,,,,,0.458333333,-0.390740783,1,0,0,2.6365,Pumice_rect,5,0,5,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,7,,,,,,,,1,16,,,,,,,,,,,7,6.009,0,,,,,,0.161111125,-0.388888889,1,0,0,6.009,Peridotite_rect,6,0,6,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,8,,,,,,,,4,10,,,,,,,,,,,1,6.775,0,,,,,,-0.305555556,-0.258333347,1,0,0,6.775,Andesite_rect,7,0,7,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,9,,,,,,,,5,05,,,,,,,,,,,5,5.175,1,,,,,,-0.453703704,-0.404629672,1,0,0,5.1746,Obsidian_rect,8,0,8,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,10,,,,,,,,3,14,,,,,,,,,,,4,7.425,0,,,,,,0.399074131,-0.240740741,1,0,0,7.4253,Gabbro_rect,9,0,9,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,11,,,,,,,,6,12,,,,,,,,,,,6,5.009,1,,,,,,-0.099999958,-0.397222236,1,0,0,5.0088,Pegmatite_rect,10,0,10,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,12,,,,,,,,3,07,,,,,,,,,,,7,4.09,0,,,,,,0.191666709,-0.397222236,1,0,0,4.0903,Peridotite_rect,11,0,11,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,13,,,,,,,,8,08,,,,,,,,,,,4,9.309,0,,,,,,0.387963048,-0.267592607,1,0,0,9.3091,Gabbro_rect,12,0,12,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,14,,,,,,,,5,08,,,,,,,,,,,5,2.934,1,,,,,,-0.48333334,-0.406481496,1,0,0,2.9335,Obsidian_rect,13,0,13,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,15,,,,,,,,1,07,,,,,,,,,,,7,11.265,0,,,,,,0.121296282,-0.407407407,1,0,0,11.2646,Peridotite_rect,14,0,14,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,16,,,,,,,,8,09,,,,,,,,,,,8,2.509,1,,,,,,0.457407492,-0.386111153,1,0,0,2.5087,Pumice_rect,15,0,15,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,1,-0.373148141,0.404629628,1,0,0,8.721,Gabbro_05,4,05,6,2,8.721,-0.372222229,-0.267592607,1,0,0,9.1969,Andesite_rect,1,9.197,0,0,0,0,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,2,0.26944443,-0.102777764,1,0,0,2.0737,Peridotite_04,7,04,3,6,2.074,0.194444444,-0.400000042,1,0,0,4.0772,Peridotite_rect,7,4.077,1,1,0,1,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,3,-0.06759255,0.234259252,1,0,0,4.9512,Andesite_11,1,11,5,4,4.951,-0.10092594,-0.408333319,1,0,0,10.3808,Pegmatite_rect,6,10.381,0,2,0,2,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,4,-0.346296275,-0.276851866,1,0,0,2.3733,Gabbro_09,4,09,2,2,2.373,-0.420370349,-0.249074088,1,0,0,4.6877,Andesite_rect,1,4.688,0,3,0,3,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,5,0.549074102,-0.282407407,1,0,0,2.5723,Pegmatite_06,6,06,2,8,2.572,-0.064814815,-0.417592578,1,0,0,2.571,Pegmatite_rect,6,2.571,1,4,0,4,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,6,-0.37962963,0.260185189,1,0,0,9.4824,Peridotite_14,7,14,5,2,9.482,0.138888889,-0.231481481,1,0,0,5.7143,Diorite_rect,3,5.714,0,5,0,5,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,7,0.555555556,-0.395370413,1,0,0,3.0092,Diorite_15,3,15,1,8,3.009,0.162962949,-0.405555584,1,0,0,7.8613,Peridotite_rect,7,7.861,0,6,0,6,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,8,-0.047222208,-0.102777764,1,0,0,4.4318,Andesite_06,1,06,3,4,4.432,0.108333376,-0.257407436,1,0,0,2.86,Diorite_rect,3,2.86,0,7,0,7,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,9,0.247222265,0.140740748,1,0,0,1.8601,Diorite_09,3,09,4,6,1.86,0.10555557,-0.250925912,1,0,0,3.1576,Diorite_rect,3,3.158,1,8,0,8,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,10,-0.229629587,0.087037016,1,0,0,3.4813,Diorite_06,3,06,4,3,3.481,-0.427777785,-0.247222265,1,0,0,2.9147,Andesite_rect,1,2.915,0,9,0,9,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,11,0.566666638,-0.094444487,1,0,0,2.577,Diorite_11,3,11,3,8,2.577,0.175000014,-0.25,1,0,0,2.4623,Diorite_rect,3,2.462,1,10,0,10,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,12,-0.390740748,0.425925926,1,0,0,2.5519,Gabbro_05,4,05,6,2,2.552,0.354629658,-0.242592635,1,0,0,5.2819,Gabbro_rect,4,5.282,1,11,0,11,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,13,0.40833339,0.215740734,1,0,0,4.6316,Andesite_09,1,09,5,7,4.632,-0.401851831,-0.229629658,1,0,0,6.2479,Andesite_rect,1,6.248,1,12,0,12,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,14,-0.258333347,-0.113888917,1,0,0,2.4594,Andesite_14,1,14,3,3,2.459,0.132407436,-0.397222236,1,0,0,7.8617,Peridotite_rect,7,7.862,0,13,0,13,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,15,-0.395370377,-0.124074088,1,0,0,2.0937,Peridotite_16,7,16,3,2,2.094,0.067592621,-0.396296325,1,0,0,7.4001,Peridotite_rect,7,7.4,1,14,0,14,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,1,16,0.551851908,0.26666666,1,0,0,6.1403,Gabbro_11,4,11,5,8,6.14,-0.36296297,-0.247222265,1,0,0,5.7185,Andesite_rect,1,5.718,0,15,0,15,0,1,,,,,,,,,,,,,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,2,1,,,,,,,,8,15,,,,,,,,,,,8,3.208,1,,,,,,0.371296353,-0.420370384,1,0,0,3.2081,Pumice_rect,0,0,0,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,2,2,,,,,,,,4,15,,,,,,,,,,,3,8.192,0,,,,,,0.135185171,-0.260185171,1,0,0,8.1923,Diorite_rect,1,0,1,0,1,
663e783bcd1ddd00b1970565,SCN,2024-06-24_13h53.24.804,LearnStrategy,2023.2.3,Win32,60.24096386,3,2,3,,,,,,,,6,15,,,,,,,,,,,6,2.574,1,,,,,,-0.125925912,-0.408333319,1,0,0,2.5741,Pegmatite_rect,2,0,2,0,1,
