participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,1,-0.218095238,-0.106666667,1,0,0,8.0956,Diorite_08,3,08,3,3,8.096,0.088571429,-0.233333333,1,0,0,10.0588,Diorite_rect,3,10.059,1,0,0,0,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,2,-0.227619048,0.227619048,1,0,0,5.1147,Obsidian_10,5,10,5,3,5.115,-0.343809524,-0.398095238,1,0,0,1.9908,Obsidian_rect,5,1.991,1,1,0,1,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,3,-0.532380952,0.074285714,1,0,0,3.3316,Basalt_11,2,11,4,1,3.332,0.339047619,-0.395238095,1,0,0,5.119,Pumice_rect,8,5.119,0,2,0,2,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,4,-0.54,0.398095238,1,0,0,5.6944,Peridotite_02,7,02,6,1,5.694,0.107619048,-0.416190476,1,0,0,11.6762,Peridotite_rect,7,11.676,1,3,0,3,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,5,-0.057142857,0.22952381,1,0,0,4.2462,Pumice_13,8,13,5,4,4.246,0.363809524,-0.4,1,0,0,8.9784,Pumice_rect,8,8.978,1,4,0,4,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,6,0.371428571,0.411428571,1,0,0,3.531,Diorite_06,3,06,6,7,3.531,-0.141904762,-0.257142857,1,0,0,10.5228,Basalt_rect,2,10.523,0,5,0,5,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,7,0.236190476,0.385714286,1,0,0,2.8796,Andesite_06,1,06,6,6,2.88,0.140952381,-0.24952381,1,0,0,8.2357,Diorite_rect,3,8.236,0,6,0,6,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,8,0.072380952,0.400952381,1,0,0,3.4964,Gabbro_10,4,10,6,5,3.496,0.376190476,-0.393333333,1,0,0,4.1254,Pumice_rect,8,4.125,0,7,0,7,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,9,0.542857143,0.387619048,1,0,0,4.5814,Peridotite_16,7,16,6,8,4.581,-0.14952381,-0.262857143,1,0,0,9.2078,Basalt_rect,2,9.208,0,8,0,8,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,10,-0.395238095,0.422857143,1,0,0,5.3101,Andesite_16,1,16,6,2,5.31,-0.126666667,-0.399047619,1,0,0,9.6091,Pegmatite_rect,6,9.609,0,9,0,9,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,11,0.222857143,0.419047619,1,0,0,5.9637,Andesite_06,1,06,6,6,5.964,-0.347619048,-0.24952381,1,0,0,1.5576,Andesite_rect,1,1.558,1,10,0,10,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,12,-0.245714286,-0.096190476,1,0,0,11.0126,Diorite_08,3,08,3,3,11.013,-0.365714286,-0.232380952,1,0,0,2.4264,Andesite_rect,1,2.426,0,11,0,11,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,13,-0.355238095,-0.251428571,1,0,0,5.9454,Diorite_02,3,02,2,2,5.945,0.084761905,-0.260952381,1,0,0,1.8945,Diorite_rect,3,1.894,1,12,0,12,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,14,0.548571429,-0.093333333,1,0,0,7.5261,Diorite_11,3,11,3,8,7.526,-0.34952381,-0.25047619,1,0,0,2.7751,Andesite_rect,1,2.775,0,13,0,13,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,15,0.552380952,0.08,1,0,0,1.9311,Diorite_16,3,16,4,8,1.931,0.165714286,-0.24952381,1,0,0,2.8218,Diorite_rect,3,2.822,1,14,0,14,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,1,16,0.224761905,0.394285714,1,0,0,13.2969,Andesite_06,1,06,6,6,13.297,0.058095238,-0.244761905,1,0,0,1.9919,Diorite_rect,3,1.992,0,15,0,15,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,1,,,,,,,,8,14,,,,,,,,,,,8,12.297,1,,,,,,0.355238095,-0.396190476,1,0,0,12.2968,Pumice_rect,0,0,0,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,2,,,,,,,,8,08,,,,,,,,,,,8,6.587,1,,,,,,0.352380952,-0.396190476,1,0,0,6.5871,Pumice_rect,1,0,1,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,3,,,,,,,,5,16,,,,,,,,,,,5,1.905,1,,,,,,-0.438095238,-0.384761905,1,0,0,1.905,Obsidian_rect,2,0,2,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,4,,,,,,,,5,08,,,,,,,,,,,5,1.255,1,,,,,,-0.406666667,-0.407619048,1,0,0,1.255,Obsidian_rect,3,0,3,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,5,,,,,,,,3,09,,,,,,,,,,,3,6.317,1,,,,,,0.10952381,-0.253333333,1,0,0,6.3165,Diorite_rect,4,0,4,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,6,,,,,,,,1,14,,,,,,,,,,,3,17.428,0,,,,,,0.103809524,-0.262857143,1,0,0,17.4285,Diorite_rect,5,0,5,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,7,,,,,,,,7,14,,,,,,,,,,,6,7.595,0,,,,,,-0.093333333,-0.388571429,1,0,0,7.5954,Pegmatite_rect,6,0,6,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,8,,,,,,,,3,14,,,,,,,,,,,1,9.619,0,,,,,,-0.339047619,-0.256190476,1,0,0,9.619,Andesite_rect,7,0,7,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,9,,,,,,,,2,02,,,,,,,,,,,2,5.301,1,,,,,,-0.193333333,-0.266666667,1,0,0,5.3006,Basalt_rect,8,0,8,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,10,,,,,,,,2,06,,,,,,,,,,,2,4.682,1,,,,,,-0.217142857,-0.259047619,1,0,0,4.6816,Basalt_rect,9,0,9,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,11,,,,,,,,7,12,,,,,,,,,,,7,2.038,1,,,,,,0.116190476,-0.395238095,1,0,0,2.0377,Peridotite_rect,10,0,10,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,12,,,,,,,,6,12,,,,,,,,,,,6,7.585,1,,,,,,-0.164761905,-0.411428571,1,0,0,7.585,Pegmatite_rect,11,0,11,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,13,,,,,,,,4,11,,,,,,,,,,,6,6.829,0,,,,,,-0.082857143,-0.394285714,1,0,0,6.8291,Pegmatite_rect,12,0,12,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,14,,,,,,,,1,03,,,,,,,,,,,1,2.063,1,,,,,,-0.376190476,-0.259047619,1,0,0,2.0625,Andesite_rect,13,0,13,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,15,,,,,,,,6,13,,,,,,,,,,,6,5.451,1,,,,,,-0.132380952,-0.403809524,1,0,0,5.4509,Pegmatite_rect,14,0,14,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,1,2,16,,,,,,,,4,14,,,,,,,,,,,1,5.745,0,,,,,,-0.39047619,-0.24,1,0,0,5.7453,Andesite_rect,15,0,15,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,1,-0.56,-0.413333333,1,0,0,10.3605,Pegmatite_15,6,15,1,1,10.361,-0.179047619,-0.421904762,1,0,0,6.7447,Pegmatite_rect,6,6.745,1,0,0,0,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,2,-0.545714286,-0.085714286,1,0,0,2.5101,Gabbro_15,4,15,3,1,2.51,-0.436190476,-0.244761905,1,0,0,8.6858,Andesite_rect,1,8.686,0,1,0,1,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,3,-0.09047619,-0.273333333,1,0,0,5.3818,Diorite_15,3,15,2,4,5.382,0.381904762,-0.260952381,1,0,0,2.6468,Gabbro_rect,4,2.647,0,2,0,2,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,4,0.539047619,-0.237142857,1,0,0,9.2744,Gabbro_13,4,13,2,8,9.274,0.44952381,-0.240952381,1,0,0,2.6711,Gabbro_rect,4,2.671,1,3,0,3,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,5,0.546666667,0.1,1,0,0,7.9508,Diorite_16,3,16,4,8,7.951,0.397142857,-0.238095238,1,0,0,1.8117,Gabbro_rect,4,1.812,0,4,0,4,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,6,0.56,-0.091428571,1,0,0,2.3633,Diorite_11,3,11,3,8,2.363,0.124761905,-0.264761905,1,0,0,1.497,Diorite_rect,3,1.497,1,5,0,5,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,7,-0.24,-0.099047619,1,0,0,3.2332,Diorite_08,3,08,3,3,3.233,0.111428571,-0.256190476,1,0,0,3.7679,Diorite_rect,3,3.768,1,6,0,6,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,8,-0.359047619,-0.256190476,1,0,0,4.8144,Diorite_02,3,02,2,2,4.814,0.077142857,-0.257142857,1,0,0,2.3296,Diorite_rect,3,2.33,1,7,0,7,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,9,0.211428571,0.074285714,1,0,0,3.0455,Gabbro_03,4,03,4,6,3.046,0.374285714,-0.241904762,1,0,0,3.8453,Gabbro_rect,4,3.845,1,8,0,8,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,10,0.256190476,0.387619048,1,0,0,8.592,Andesite_06,1,06,6,6,8.592,-0.381904762,-0.260952381,1,0,0,5.5401,Andesite_rect,1,5.54,1,9,0,9,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,11,-0.384761905,0.415238095,1,0,0,8.8512,Andesite_16,1,16,6,2,8.851,-0.152380952,-0.398095238,1,0,0,7.6155,Pegmatite_rect,6,7.615,0,10,0,10,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,12,0.572380952,-0.43047619,1,0,0,20.5264,Andesite_11,1,11,1,8,20.526,-0.363809524,-0.256190476,1,0,0,3.7207,Andesite_rect,1,3.721,1,11,0,11,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,13,-0.079047619,-0.411428571,1,0,0,12.0757,Peridotite_08,7,08,1,4,12.076,0.104761905,-0.412380952,1,0,0,2.7379,Peridotite_rect,7,2.738,1,12,0,12,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,14,0.087619048,0.08952381,1,0,0,6.961,Pegmatite_05,6,05,4,5,6.961,-0.073333333,-0.38952381,1,0,0,7.2014,Pegmatite_rect,6,7.201,1,13,0,13,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,15,-0.202857143,0.075238095,1,0,0,2.5599,Basalt_12,2,12,4,3,2.56,-0.46,-0.256190476,1,0,0,5.4881,Andesite_rect,1,5.488,0,14,0,14,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,1,16,-0.527619048,0.093333333,1,0,0,3.0093,Basalt_11,2,11,4,1,3.009,-0.178095238,-0.253333333,1,0,0,1.2716,Basalt_rect,2,1.272,1,15,0,15,0,1,,,,,,,,,,,,,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,2,1,,,,,,,,6,07,,,,,,,,,,,6,6.097,1,,,,,,-0.097142857,-0.404761905,1,0,0,6.0967,Pegmatite_rect,0,0,0,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,2,2,,,,,,,,8,04,,,,,,,,,,,8,3.541,1,,,,,,0.413333333,-0.42,1,0,0,3.5415,Pumice_rect,1,0,1,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,2,3,,,,,,,,5,14,,,,,,,,,,,5,1.435,1,,,,,,-0.417142857,-0.397142857,1,0,0,1.435,Obsidian_rect,2,0,2,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,2,4,,,,,,,,4,05,,,,,,,,,,,7,15.862,0,,,,,,0.068571429,-0.418095238,1,0,0,15.8625,Peridotite_rect,3,0,3,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,2,5,,,,,,,,1,05,,,,,,,,,,,1,4.053,1,,,,,,-0.41047619,-0.254285714,1,0,0,4.0533,Andesite_rect,4,0,4,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,2,6,,,,,,,,2,01,,,,,,,,,,,2,2.185,1,,,,,,-0.2,-0.267619048,1,0,0,2.1851,Basalt_rect,5,0,5,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,2,7,,,,,,,,8,16,,,,,,,,,,,8,1.714,1,,,,,,0.388571429,-0.402857143,1,0,0,1.7136,Pumice_rect,6,0,6,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,2,8,,,,,,,,5,05,,,,,,,,,,,5,3.368,1,,,,,,-0.344761905,-0.399047619,1,0,0,3.3679,Obsidian_rect,7,0,7,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,2,9,,,,,,,,7,04,,,,,,,,,,,4,16.416,0,,,,,,0.372380952,-0.263809524,1,0,0,16.416,Gabbro_rect,8,0,8,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,2,10,,,,,,,,4,12,,,,,,,,,,,1,15.946,0,,,,,,-0.371428571,-0.262857143,1,0,0,15.9462,Andesite_rect,9,0,9,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,2,11,,,,,,,,2,09,,,,,,,,,,,2,6.936,1,,,,,,-0.16952381,-0.27047619,1,0,0,6.9357,Basalt_rect,10,0,10,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,2,12,,,,,,,,6,06,,,,,,,,,,,4,20.043,0,,,,,,0.320952381,-0.267619048,1,0,0,20.0433,Gabbro_rect,11,0,11,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,2,13,,,,,,,,7,13,,,,,,,,,,,7,3.05,1,,,,,,0.094285714,-0.396190476,1,0,0,3.0499,Peridotite_rect,12,0,12,0,1,
666470715d3629eacf102999,SCN,2024-06-21_12h46.50.995,LearnStrategy,2023.2.3,Win32,60.97560976,2,2,14,,,,,,,,3,07,,,,,,,,,,,3,5.634,1,,,,,,0.148571429,-0.258095238,1,0,0,5.6336,Diorite_rect,13,0,13,0,1,
