participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,1,0.063392857,-0.246428571,1,0,0,4.087,Diorite_08,3,08,2,5,4.087,-0.096428571,-0.266964286,1,0,0,5.209,Basalt_rect,2,5.209,0,0,0,0,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,2,-0.36875,0.391964286,1,0,0,5.715,Pegmatite_09,6,09,6,2,5.715,-0.125,-0.239285714,1,0,0,4.939,Basalt_rect,2,4.939,0,1,0,1,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,3,-0.239285714,-0.271428571,1,0,0,2.865,Diorite_09,3,09,2,3,2.865,0.369642857,-0.265178571,1,0,0,2.515,Gabbro_rect,4,2.515,0,2,0,2,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,4,0.565178571,0.084821429,1,0,0,5.765,Pumice_09,8,09,4,8,5.765,0.407142857,-0.398214286,1,0,0,1.215,Pumice_rect,8,1.215,1,3,0,3,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,5,-0.515178571,0.394642857,1,0,0,3.265,Obsidian_09,5,09,6,1,3.265,-0.410714286,-0.392857143,1,0,0,4.233,Obsidian_rect,5,4.233,1,4,0,4,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,6,-0.536607143,-0.100892857,1,0,0,1.232,Obsidian_06,5,06,3,1,1.232,-0.375,-0.402678571,1,0,0,2.976,Obsidian_rect,5,2.976,1,5,0,5,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,7,0.105357143,0.402678571,1,0,0,5.916,Basalt_08,2,08,6,5,5.916,0.427678571,-0.242857143,1,0,0,2.905,Gabbro_rect,4,2.905,0,6,0,6,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,8,-0.079464286,-0.10625,1,0,0,1.032,Pegmatite_16,6,16,3,4,1.032,0.158928571,-0.24375,1,0,0,1.932,Diorite_rect,3,1.932,0,7,0,7,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,9,-0.194642857,-0.091964286,1,0,0,1.165,Pumice_08,8,08,3,3,1.165,0.422321429,-0.270535714,1,0,0,1.789,Gabbro_rect,4,1.789,0,8,0,8,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,10,-0.426785714,-0.433928571,1,0,0,3.782,Pegmatite_15,6,15,1,2,3.782,-0.342857143,-0.39375,1,0,0,2.364,Obsidian_rect,5,2.364,0,9,0,9,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,11,0.386607143,-0.079464286,1,0,0,2.05,Gabbro_12,4,12,3,7,2.05,0.383035714,-0.236607143,1,0,0,1.595,Gabbro_rect,4,1.595,1,10,0,10,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,12,0.053571429,0.078571429,1,0,0,1.432,Pegmatite_03,6,03,4,5,1.432,-0.379464286,-0.25,1,0,0,3.147,Andesite_rect,1,3.147,0,11,0,11,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,13,-0.525,0.091071429,1,0,0,1.348,Diorite_15,3,15,4,1,1.348,-0.115178571,-0.242857143,1,0,0,2.14,Basalt_rect,2,2.14,0,12,0,12,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,14,0.541071429,-0.282142857,1,0,0,6.282,Andesite_07,1,07,2,8,6.282,0.114285714,-0.24375,1,0,0,2.357,Diorite_rect,3,2.357,0,13,0,13,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,15,-0.555357143,-0.278571429,1,0,0,3.467,Peridotite_14,7,14,2,1,3.467,0.394642857,-0.247321429,1,0,0,2.726,Gabbro_rect,4,2.726,0,14,0,14,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,1,16,-0.227678571,-0.388392857,1,0,0,3.797,Gabbro_11,4,11,1,3,3.797,-0.191964286,-0.258035714,1,0,0,1.615,Basalt_rect,2,1.615,0,15,0,15,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,1,,,,,,,,6,10,,,,,,,,,,,7,7.471,0,,,,,,0.141964286,-0.391071429,1,0,0,7.471,Peridotite_rect,0,0,0,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,2,,,,,,,,1,11,,,,,,,,,,,4,8.221,0,,,,,,0.383035714,-0.25625,1,0,0,8.221,Gabbro_rect,1,0,1,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,3,,,,,,,,6,13,,,,,,,,,,,6,5.568,1,,,,,,-0.091071429,-0.403571429,1,0,0,5.568,Pegmatite_rect,2,0,2,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,4,,,,,,,,1,09,,,,,,,,,,,4,3.411,0,,,,,,0.409821429,-0.236607143,1,0,0,3.411,Gabbro_rect,3,0,3,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,5,,,,,,,,5,12,,,,,,,,,,,5,2.496,1,,,,,,-0.391071429,-0.398214286,1,0,0,2.496,Obsidian_rect,4,0,4,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,6,,,,,,,,7,13,,,,,,,,,,,7,8.571,1,,,,,,0.109821429,-0.404464286,1,0,0,8.571,Peridotite_rect,5,0,5,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,7,,,,,,,,4,13,,,,,,,,,,,1,4.807,0,,,,,,-0.314285714,-0.25625,1,0,0,4.807,Andesite_rect,6,0,6,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,8,,,,,,,,3,13,,,,,,,,,,,3,6.986,1,,,,,,0.139285714,-0.258035714,1,0,0,6.986,Diorite_rect,7,0,7,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,9,,,,,,,,3,07,,,,,,,,,,,6,5.047,0,,,,,,-0.121428571,-0.41875,1,0,0,5.047,Pegmatite_rect,8,0,8,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,10,,,,,,,,2,12,,,,,,,,,,,8,2.917,0,,,,,,0.328571429,-0.40625,1,0,0,2.917,Pumice_rect,9,0,9,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,11,,,,,,,,5,04,,,,,,,,,,,5,1.333,1,,,,,,-0.339285714,-0.413392857,1,0,0,1.333,Obsidian_rect,10,0,10,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,12,,,,,,,,8,10,,,,,,,,,,,8,2.195,1,,,,,,0.35625,-0.397321429,1,0,0,2.195,Pumice_rect,11,0,11,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,13,,,,,,,,4,05,,,,,,,,,,,6,4.215,0,,,,,,-0.069642857,-0.407142857,1,0,0,4.215,Pegmatite_rect,12,0,12,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,14,,,,,,,,7,04,,,,,,,,,,,3,9.851,0,,,,,,0.115178571,-0.269642857,1,0,0,9.851,Diorite_rect,13,0,13,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,15,,,,,,,,8,04,,,,,,,,,,,8,1.334,1,,,,,,0.396428571,-0.404464286,1,0,0,1.334,Pumice_rect,14,0,14,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,1,2,16,,,,,,,,2,02,,,,,,,,,,,2,5.711,1,,,,,,-0.100892857,-0.2625,1,0,0,5.711,Basalt_rect,15,0,15,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,1,-0.391964286,0.06875,1,0,0,4.299,Basalt_01,2,01,4,2,4.299,-0.13125,-0.240178571,1,0,0,1.849,Basalt_rect,2,1.849,1,0,0,0,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,2,0.576785714,0.383035714,1,0,0,2.767,Obsidian_10,5,10,6,8,2.767,0.208928571,-0.261607143,1,0,0,2.209,Diorite_rect,3,2.209,0,1,0,1,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,3,-0.21875,-0.274107143,1,0,0,1.182,Diorite_09,3,09,2,3,1.182,-0.128571429,-0.4,1,0,0,1.278,Pegmatite_rect,6,1.278,0,2,0,2,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,4,-0.361607143,-0.249107143,1,0,0,0.983,Basalt_14,2,14,2,2,0.983,0.391071429,-0.416071429,1,0,0,1.696,Pumice_rect,8,1.696,0,3,0,3,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,5,-0.522321429,-0.421428571,1,0,0,2.5,Pumice_16,8,16,1,1,2.5,0.426785714,-0.408035714,1,0,0,1.275,Pumice_rect,8,1.275,1,4,0,4,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,6,-0.050892857,-0.110714286,1,0,0,1.183,Pegmatite_16,6,16,3,4,1.183,0.171428571,-0.246428571,1,0,0,1.481,Diorite_rect,3,1.481,0,5,0,5,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,7,-0.507142857,-0.102678571,1,0,0,1.965,Obsidian_06,5,06,3,1,1.965,-0.378571429,-0.395535714,1,0,0,0.975,Obsidian_rect,5,0.975,1,6,0,6,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,8,0.378571429,-0.420535714,1,0,0,2.166,Gabbro_01,4,01,1,7,2.166,0.154464286,-0.233928571,1,0,0,1.584,Diorite_rect,3,1.584,0,7,0,7,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,9,-0.240178571,0.271428571,1,0,0,2.764,Gabbro_14,4,14,5,3,2.764,0.401785714,-0.245535714,1,0,0,1.587,Gabbro_rect,4,1.587,1,8,0,8,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,10,-0.244642857,0.05,1,0,0,1.332,Diorite_06,3,06,4,3,1.332,0.135714286,-0.255357143,1,0,0,1.012,Diorite_rect,3,1.012,1,9,0,9,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,11,-0.401785714,0.396428571,1,0,0,1.384,Pegmatite_09,6,09,6,2,1.384,-0.141964286,-0.24375,1,0,0,1.889,Basalt_rect,2,1.889,0,10,0,10,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,12,-0.263392857,-0.130357143,1,0,0,1.248,Pumice_08,8,08,3,3,1.248,0.475,-0.403571429,1,0,0,1.108,Pumice_rect,8,1.108,1,11,0,11,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,13,-0.554464286,-0.266071429,1,0,0,2.417,Peridotite_14,7,14,2,1,2.417,-0.09375,-0.269642857,1,0,0,1.74,Basalt_rect,2,1.74,0,12,0,12,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,14,0.571428571,-0.109821429,1,0,0,1.166,Andesite_10,1,10,3,8,1.166,0.458035714,-0.258035714,1,0,0,1.546,Gabbro_rect,4,1.546,0,13,0,13,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,15,-0.049107143,-0.236607143,1,0,0,0.65,Obsidian_14,5,14,2,4,0.65,-0.298214286,-0.392857143,1,0,0,1.224,Obsidian_rect,5,1.224,1,14,0,14,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,1,16,-0.391071429,0.083928571,1,0,0,2.065,Basalt_01,2,01,4,2,2.065,-0.125,-0.241964286,1,0,0,1.828,Basalt_rect,2,1.828,1,15,0,15,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,1,,,,,,,,5,16,,,,,,,,,,,5,1.215,1,,,,,,-0.413392857,-0.409821429,1,0,0,1.215,Obsidian_rect,0,0,0,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,2,,,,,,,,1,05,,,,,,,,,,,1,8.669,1,,,,,,-0.366964286,-0.260714286,1,0,0,8.669,Andesite_rect,1,0,1,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,3,,,,,,,,1,14,,,,,,,,,,,7,5.252,0,,,,,,0.104464286,-0.404464286,1,0,0,5.252,Peridotite_rect,2,0,2,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,4,,,,,,,,6,12,,,,,,,,,,,3,5.986,0,,,,,,0.147321429,-0.269642857,1,0,0,5.986,Diorite_rect,3,0,3,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,5,,,,,,,,4,03,,,,,,,,,,,3,1.387,0,,,,,,0.147321429,-0.269642857,1,0,0,1.387,Diorite_rect,4,0,4,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,6,,,,,,,,7,06,,,,,,,,,,,7,4.47,1,,,,,,0.10625,-0.395535714,1,0,0,4.47,Peridotite_rect,5,0,5,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,7,,,,,,,,2,06,,,,,,,,,,,2,2.633,1,,,,,,-0.083928571,-0.257142857,1,0,0,2.633,Basalt_rect,6,0,6,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,8,,,,,,,,6,07,,,,,,,,,,,4,4.168,0,,,,,,0.440178571,-0.270535714,1,0,0,4.168,Gabbro_rect,7,0,7,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,9,,,,,,,,2,16,,,,,,,,,,,2,6.473,1,,,,,,-0.170535714,-0.24375,1,0,0,6.473,Basalt_rect,8,0,8,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,10,,,,,,,,4,16,,,,,,,,,,,6,4.427,0,,,,,,-0.024107143,-0.4125,1,0,0,4.427,Pegmatite_rect,9,0,9,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,11,,,,,,,,7,12,,,,,,,,,,,4,2.053,0,,,,,,0.333035714,-0.242857143,1,0,0,2.053,Gabbro_rect,10,0,10,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,12,,,,,,,,8,05,,,,,,,,,,,8,1.293,1,,,,,,0.399107143,-0.417857143,1,0,0,1.293,Pumice_rect,11,0,11,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,13,,,,,,,,3,11,,,,,,,,,,,3,5.286,1,,,,,,0.079464286,-0.259821429,1,0,0,5.286,Diorite_rect,12,0,12,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,14,,,,,,,,5,08,,,,,,,,,,,5,1.304,1,,,,,,-0.373214286,-0.408928571,1,0,0,1.304,Obsidian_rect,13,0,13,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,15,,,,,,,,3,12,,,,,,,,,,,3,1.569,1,,,,,,0.183035714,-0.23125,1,0,0,1.569,Diorite_rect,14,0,14,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,2,2,16,,,,,,,,8,02,,,,,,,,,,,8,1.683,1,,,,,,0.352678571,-0.3875,1,0,0,1.683,Pumice_rect,15,0,15,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,1,0.113392857,0.086607143,1,0,0,1.315,Pegmatite_03,6,03,4,5,1.315,0.126785714,-0.266071429,1,0,0,2.327,Diorite_rect,3,2.327,0,0,0,0,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,2,0.433928571,0.226785714,1,0,0,1.799,Basalt_11,2,11,5,7,1.799,-0.374107143,-0.240178571,1,0,0,2.147,Andesite_rect,1,2.147,0,1,0,1,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,3,-0.098214286,-0.109821429,1,0,0,1.149,Pegmatite_16,6,16,3,4,1.149,0.050892857,-0.260714286,1,0,0,1.878,Diorite_rect,3,1.878,0,2,0,2,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,4,-0.248214286,-0.429464286,1,0,0,1.434,Gabbro_11,4,11,1,3,1.434,-0.144642857,-0.269642857,1,0,0,1.469,Basalt_rect,2,1.469,0,3,0,3,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,5,0.559821429,-0.228571429,1,0,0,1.765,Andesite_07,1,07,2,8,1.765,0.451785714,-0.2375,1,0,0,1.058,Gabbro_rect,4,1.058,0,4,0,4,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,6,-0.047321429,-0.425,1,0,0,2.9,Diorite_10,3,10,1,4,2.9,0.372321429,-0.242857143,1,0,0,1.446,Gabbro_rect,4,1.446,0,5,0,5,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,7,-0.225,0.247321429,1,0,0,1.732,Gabbro_14,4,14,5,3,1.732,0.383035714,-0.246428571,1,0,0,1.19,Gabbro_rect,4,1.19,1,6,0,6,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,8,-0.414285714,0.245535714,1,0,0,2.016,Gabbro_09,4,09,5,2,2.016,-0.391964286,-0.261607143,1,0,0,1.75,Andesite_rect,1,1.75,0,7,0,7,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,9,-0.572321429,0.075,1,0,0,3.95,Diorite_15,3,15,4,1,3.95,-0.348214286,-0.257142857,1,0,0,2.917,Andesite_rect,1,2.917,0,8,0,8,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,10,0.246428571,-0.259821429,1,0,0,2.532,Diorite_02,3,02,2,6,2.532,0.161607143,-0.260714286,1,0,0,0.76,Diorite_rect,3,0.76,1,9,0,9,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,11,-0.050892857,-0.423214286,1,0,0,1.3,Diorite_10,3,10,1,4,1.3,0.155357143,-0.241071429,1,0,0,1.394,Diorite_rect,3,1.394,1,10,0,10,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,12,-0.089285714,-0.101785714,1,0,0,0.715,Pegmatite_16,6,16,3,4,0.715,-0.065178571,-0.3875,1,0,0,13.11,Pegmatite_rect,6,13.11,1,11,0,11,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,13,0.23125,-0.100892857,1,0,0,1.214,Peridotite_16,7,16,3,6,1.214,0.18125,-0.241071429,1,0,0,1.513,Diorite_rect,3,1.513,0,12,0,12,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,14,0.540178571,-0.40625,1,0,0,2.266,Pegmatite_05,6,05,1,8,2.266,0.170535714,-0.384821429,1,0,0,1.832,Peridotite_rect,7,1.832,0,13,0,13,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,15,-0.042857143,-0.208035714,1,0,0,0.698,Obsidian_14,5,14,2,4,0.698,-0.338392857,-0.392857143,1,0,0,1.869,Obsidian_rect,5,1.869,1,14,0,14,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,1,16,-0.408035714,0.101785714,1,0,0,2.75,Basalt_01,2,01,4,2,2.75,-0.146428571,-0.265178571,1,0,0,1.091,Basalt_rect,2,1.091,1,15,0,15,0,1,,,,,,,,,,,,,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,2,1,,,,,,,,1,16,,,,,,,,,,,3,9.424,0,,,,,,0.183035714,-0.255357143,1,0,0,9.424,Diorite_rect,0,0,0,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,2,2,,,,,,,,7,05,,,,,,,,,,,7,5.008,1,,,,,,0.152678571,-0.396428571,1,0,0,5.008,Peridotite_rect,1,0,1,0,1,
662949dcb3c06ccdd7352db5,SCN,2024-06-26_13h35.31.114,LearnStrategy,2023.2.3,MacIntel,55.55555556,3,2,3,,,,,,,,5,05,,,,,,,,,,,5,1.745,1,,,,,,-0.389285714,-0.41875,1,0,0,1.745,Obsidian_rect,2,0,2,0,1,
