participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,1,0.05936754,-0.22880995,1,0,0,2.9863,Pegmatite_10,6,10,2,5,2.986,0.137880927,-0.265400526,1,0,0,5.0561,Diorite_rect,3,5.056,0,0,0,0,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,2,-0.076557821,0.091752625,1,0,0,1.5472,Obsidian_10,5,10,4,4,1.547,-0.392491557,-0.404309896,1,0,0,2.2612,Obsidian_rect,5,2.261,1,1,0,1,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,3,-0.381054857,0.39363266,1,0,0,1.5303,Pegmatite_11,6,11,6,2,1.53,0.379817437,-0.251094767,1,0,0,6.331,Gabbro_rect,4,6.331,0,2,0,2,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,4,0.397788628,0.245750393,1,0,0,1.029,Peridotite_15,7,15,5,7,1.029,0.10525255,-0.39856547,1,0,0,4.1033,Peridotite_rect,7,4.103,1,3,0,3,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,5,-0.076618381,0.402874773,1,0,0,1.2959,Andesite_03,1,03,6,4,1.296,-0.348643053,-0.230031264,1,0,0,2.0466,Andesite_rect,1,2.047,1,4,0,4,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,6,-0.55535202,0.40234904,1,0,0,1.2294,Gabbro_16,4,16,6,1,1.229,-0.107133247,-0.242368707,1,0,0,4.1167,Basalt_rect,2,4.117,0,5,0,5,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,7,0.581036106,0.258372362,1,0,0,1.3451,Diorite_16,3,16,5,8,1.345,-0.218565131,-0.253325399,1,0,0,3.6183,Basalt_rect,2,3.618,0,6,0,6,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,8,-0.520645565,0.0850452,1,0,0,1.5162,Pegmatite_07,6,07,4,1,1.516,-0.183757053,-0.394308336,1,0,0,1.314,Pegmatite_rect,6,1.314,1,7,0,7,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,9,-0.403314277,0.231371867,1,0,0,1.08,Obsidian_05,5,05,5,2,1.08,-0.420480448,-0.391311103,1,0,0,1.1602,Obsidian_rect,5,1.16,1,8,0,8,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,10,-0.220250515,0.243564453,1,0,0,1.8318,Diorite_12,3,12,5,3,1.832,0.384638129,-0.397369113,1,0,0,4.5153,Pumice_rect,8,4.515,0,9,0,9,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,11,0.090747613,0.235710856,1,0,0,1.6643,Pumice_09,8,09,5,5,1.664,0.084138997,-0.267081502,1,0,0,3.7439,Diorite_rect,3,3.744,0,10,0,10,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,12,0.244400838,0.248030006,1,0,0,1.0639,Basalt_04,2,04,5,6,1.064,-0.200885891,-0.240309584,1,0,0,2.5781,Basalt_rect,2,2.578,1,11,0,11,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,13,0.416673448,0.052379354,1,0,0,1.729,Peridotite_14,7,14,4,7,1.729,-0.12249722,-0.404847819,1,0,0,1.3661,Pegmatite_rect,6,1.366,0,12,0,12,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,14,-0.523927748,-0.085271878,1,0,0,1.2825,Diorite_09,3,09,3,1,1.282,-0.153235609,-0.262500475,1,0,0,3.9916,Basalt_rect,2,3.992,0,13,0,13,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,15,0.236209378,-0.244532471,1,0,0,1.8306,Obsidian_06,5,06,2,6,1.831,-0.180013631,-0.399627686,1,0,0,2.8052,Pegmatite_rect,6,2.805,0,14,0,14,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,1,16,0.439007704,-0.259395006,1,0,0,1.527,Basalt_09,2,09,2,7,1.527,-0.34163642,-0.400862291,1,0,0,1.5973,Obsidian_rect,5,1.597,0,15,0,15,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,1,,,,,,,,8,04,,,,,,,,,,,8,2.107,1,,,,,,0.409155816,-0.411284993,1,0,0,2.1073,Pumice_rect,0,0,0,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,2,,,,,,,,2,11,,,,,,,,,,,2,2.895,1,,,,,,-0.154448649,-0.252882148,1,0,0,2.8949,Basalt_rect,1,0,1,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,3,,,,,,,,7,06,,,,,,,,,,,7,3.046,1,,,,,,0.082162476,-0.409654066,1,0,0,3.0458,Peridotite_rect,2,0,2,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,4,,,,,,,,6,16,,,,,,,,,,,3,5.788,0,,,,,,0.124540609,-0.24781033,1,0,0,5.7878,Diorite_rect,3,0,3,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,5,,,,,,,,4,14,,,,,,,,,,,2,2.346,0,,,,,,-0.186675483,-0.243485989,1,0,0,2.3456,Basalt_rect,4,0,4,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,6,,,,,,,,4,09,,,,,,,,,,,5,5.886,0,,,,,,-0.38610121,-0.401527439,1,0,0,5.8861,Obsidian_rect,5,0,5,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,7,,,,,,,,7,04,,,,,,,,,,,7,3.712,1,,,,,,0.118071221,-0.400884874,1,0,0,3.7119,Peridotite_rect,6,0,6,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,8,,,,,,,,5,14,,,,,,,,,,,5,1.103,1,,,,,,-0.346649136,-0.394487169,1,0,0,1.1028,Obsidian_rect,7,0,7,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,9,,,,,,,,2,01,,,,,,,,,,,2,1.362,1,,,,,,-0.149531453,-0.253512573,1,0,0,1.3617,Basalt_rect,8,0,8,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,10,,,,,,,,3,08,,,,,,,,,,,3,1.087,1,,,,,,0.093674927,-0.261922811,1,0,0,1.0867,Diorite_rect,9,0,9,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,11,,,,,,,,3,06,,,,,,,,,,,3,0.829,1,,,,,,0.091396145,-0.256902941,1,0,0,0.8289,Diorite_rect,10,0,10,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,12,,,,,,,,5,07,,,,,,,,,,,5,0.959,1,,,,,,-0.345889248,-0.393020155,1,0,0,0.9585,Obsidian_rect,11,0,11,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,13,,,,,,,,1,07,,,,,,,,,,,3,6.34,0,,,,,,0.070013631,-0.256521132,1,0,0,6.3402,Diorite_rect,12,0,12,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,14,,,,,,,,1,05,,,,,,,,,,,7,1.337,0,,,,,,0.076282484,-0.384682956,1,0,0,1.3365,Peridotite_rect,13,0,13,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,15,,,,,,,,6,09,,,,,,,,,,,7,0.982,0,,,,,,0.086199544,-0.39535909,1,0,0,0.9822,Peridotite_rect,14,0,14,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,1,2,16,,,,,,,,8,03,,,,,,,,,,,8,1.233,1,,,,,,0.364488661,-0.381424289,1,0,0,1.2329,Pumice_rect,15,0,15,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,1,0.234608968,0.098518134,1,0,0,2.4483,Peridotite_16,7,16,4,6,2.448,0.094955987,-0.403357273,1,0,0,3.079,Peridotite_rect,7,3.079,1,0,0,0,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,2,0.102696058,-0.087647163,1,0,0,1.5127,Pegmatite_03,6,03,3,5,1.513,0.133386841,-0.399290432,1,0,0,0.7695,Peridotite_rect,7,0.77,0,1,0,1,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,3,-0.085938856,-0.426339857,1,0,0,1.8315,Pumice_10,8,10,1,4,1.832,0.410831028,-0.394960531,1,0,0,0.7081,Pumice_rect,8,0.708,1,2,0,2,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,4,-0.379892646,-0.106957465,1,0,0,1.3306,Pegmatite_08,6,08,3,2,1.331,-0.39282664,-0.259009603,1,0,0,2.5021,Andesite_rect,1,2.502,0,3,0,3,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,5,0.550330811,-0.442215373,1,0,0,1.9642,Pumice_16,8,16,1,8,1.964,0.469320747,-0.419335395,1,0,0,0.7961,Pumice_rect,8,0.796,1,4,0,4,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,6,0.55718438,-0.118278537,1,0,0,5.0634,Peridotite_05,7,05,3,8,5.063,0.11804891,-0.390869548,1,0,0,2.6943,Peridotite_rect,7,2.694,1,5,0,5,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,7,0.406338433,0.242760247,1,0,0,1.3488,Peridotite_15,7,15,5,7,1.349,0.116906331,-0.392882419,1,0,0,0.9463,Peridotite_rect,7,0.946,1,6,0,6,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,8,0.531907552,0.384441172,1,0,0,2.8484,Obsidian_04,5,04,6,8,2.848,-0.404473063,-0.405539212,1,0,0,1.5578,Obsidian_rect,5,1.558,1,7,0,7,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,9,-0.086485257,0.373770972,1,0,0,1.9467,Andesite_03,1,03,6,4,1.947,-0.387412788,-0.267482435,1,0,0,1.4466,Andesite_rect,1,1.447,1,8,0,8,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,10,-0.211259901,-0.421043498,1,0,0,2.0308,Gabbro_12,4,12,1,3,2.031,-0.351447245,-0.259509616,1,0,0,0.6575,Andesite_rect,1,0.657,0,9,0,9,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,11,-0.526315918,0.2402152,1,0,0,2.5137,Basalt_12,2,12,5,1,2.514,0.376363797,-0.381475288,1,0,0,1.2197,Pumice_rect,8,1.22,0,10,0,10,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,12,-0.237100864,0.392773692,1,0,0,1.8127,Obsidian_11,5,11,6,3,1.813,-0.403793267,-0.387352702,1,0,0,1.1997,Obsidian_rect,5,1.2,1,11,0,11,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,13,0.091445448,0.227569817,1,0,0,1.0651,Pumice_09,8,09,5,5,1.065,0.372347955,-0.395245904,1,0,0,0.9204,Pumice_rect,8,0.92,1,12,0,12,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,14,0.22390686,0.231377903,1,0,0,0.9979,Basalt_04,2,04,5,6,0.998,-0.119361165,-0.270474921,1,0,0,1.5947,Basalt_rect,2,1.595,1,13,0,13,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,15,0.244638333,-0.445354004,1,0,0,1.5149,Gabbro_15,4,15,1,6,1.515,0.112477078,-0.262800225,1,0,0,2.2346,Diorite_rect,3,2.235,0,14,0,14,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,1,16,-0.398944024,0.380861901,1,0,0,3.8656,Pegmatite_11,6,11,6,2,3.866,-0.110814006,-0.405071547,1,0,0,1.713,Pegmatite_rect,6,1.713,1,15,0,15,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,1,,,,,,,,1,16,,,,,,,,,,,1,8.915,1,,,,,,-0.343725823,-0.266168077,1,0,0,8.9146,Andesite_rect,0,0,0,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,2,,,,,,,,3,13,,,,,,,,,,,3,1.204,1,,,,,,0.088599108,-0.241134508,1,0,0,1.2037,Diorite_rect,1,0,1,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,3,,,,,,,,4,01,,,,,,,,,,,1,3.11,0,,,,,,-0.388271823,-0.244922689,1,0,0,3.1095,Andesite_rect,2,0,2,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,4,,,,,,,,1,06,,,,,,,,,,,2,5.473,0,,,,,,-0.209177924,-0.232729357,1,0,0,5.4731,Basalt_rect,3,0,3,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,5,,,,,,,,8,08,,,,,,,,,,,8,1.225,1,,,,,,0.320201077,-0.392961968,1,0,0,1.2254,Pumice_rect,4,0,4,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,6,,,,,,,,8,05,,,,,,,,,,,8,1.348,1,,,,,,0.378700222,-0.39116272,1,0,0,1.3479,Pumice_rect,5,0,5,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,7,,,,,,,,5,08,,,,,,,,,,,5,1.036,1,,,,,,-0.37100101,-0.402122125,1,0,0,1.0363,Obsidian_rect,6,0,6,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,8,,,,,,,,2,16,,,,,,,,,,,4,2.269,0,,,,,,0.372094727,-0.248944973,1,0,0,2.2691,Gabbro_rect,7,0,7,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,9,,,,,,,,3,15,,,,,,,,,,,3,2.33,1,,,,,,0.059934557,-0.26437439,1,0,0,2.3296,Diorite_rect,8,0,8,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,10,,,,,,,,5,16,,,,,,,,,,,5,0.948,1,,,,,,-0.351976488,-0.399044935,1,0,0,0.9479,Obsidian_rect,9,0,9,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,11,,,,,,,,7,07,,,,,,,,,,,7,1.862,1,,,,,,0.079406738,-0.398174303,1,0,0,1.8624,Peridotite_rect,10,0,10,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,12,,,,,,,,2,05,,,,,,,,,,,2,1.265,1,,,,,,-0.152347616,-0.246738146,1,0,0,1.2648,Basalt_rect,11,0,11,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,13,,,,,,,,7,12,,,,,,,,,,,7,1.832,1,,,,,,0.092309638,-0.407544013,1,0,0,1.8316,Peridotite_rect,12,0,12,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,14,,,,,,,,4,13,,,,,,,,,,,6,1.159,0,,,,,,-0.165746935,-0.409654812,1,0,0,1.1588,Pegmatite_rect,13,0,13,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,15,,,,,,,,6,13,,,,,,,,,,,6,1.763,1,,,,,,-0.157907986,-0.401236776,1,0,0,1.7634,Pegmatite_rect,14,0,14,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,2,2,16,,,,,,,,6,12,,,,,,,,,,,3,1.835,0,,,,,,0.139620768,-0.253330553,1,0,0,1.8354,Diorite_rect,15,0,15,0,1,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,3,1,1,0.365014784,-0.130240343,1,0,0,1.182,Andesite_10,1,10,3,7,1.182,-0.188936428,-0.250225559,1,0,0,1.5051,Basalt_rect,2,1.505,0,0,0,0,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,3,1,2,0.056057604,-0.280963135,1,0,0,0.9962,Pegmatite_10,6,10,2,5,0.996,0.097464261,-0.414779799,1,0,0,0.6447,Peridotite_rect,7,0.645,0,1,0,1,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,3,1,3,-0.233748305,0.103723416,1,0,0,0.9833,Andesite_09,1,09,4,3,0.983,-0.150406019,-0.25983941,1,0,0,1.2245,Basalt_rect,2,1.224,0,2,0,2,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,3,1,4,0.212832709,0.240801748,1,0,0,1.1126,Basalt_04,2,04,5,6,1.113,-0.181762831,-0.246273193,1,0,0,0.9899,Basalt_rect,2,0.99,1,3,0,3,0,1,,,,,,,,,,,,,
6665fbef3202800c8227ce10,SCN,2024-06-21_13h47.28.826,LearnStrategy,2023.2.3,MacIntel,60.97560976,3,1,5,-0.402425876,-0.280974121,1,0,0,1.1137,Basalt_14,2,14,2,2,1.114,-0.167989163,-0.250637682,1,0,0,1.3142,Basalt_rect,2,1.314,1,4,0,4,0,1,,,,,,,,,,,,,
