participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,1,0.137174988,-0.011832301,1,0,0,4.8469,rock_grid_rect_2,5,08,-1,-1,4.847,-0.324175517,-0.415109338,1,0,0,37.4857,Obsidian_rect,5,37.486,1,0,0,0,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,2,-0.029001363,-0.015457831,1,0,0,9.3144,rock_grid_rect_2,6,12,-1,-1,9.314,-0.472231208,-0.236444431,1,0,0,96.1486,Andesite_rect,1,96.149,0,1,0,1,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,3,0.160247888,-0.000430171,1,0,0,4.0844,rock_grid_rect_2,3,09,-1,-1,4.084,-0.120873515,-0.412837219,1,0,0,34.0065,Pegmatite_rect,6,34.007,0,2,0,2,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,4,0.116011726,-0.009896681,1,0,0,3.4955,rock_grid_rect_2,2,04,-1,-1,3.495,-0.106583659,-0.235703532,1,0,0,42.8347,Basalt_rect,2,42.835,1,3,0,3,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,5,0.195998383,0.001217948,1,0,0,2.1894,rock_grid_rect_2,5,12,-1,-1,2.189,-0.330604553,-0.39764311,1,0,0,2.1372,Obsidian_rect,5,2.137,1,4,0,4,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,6,-0.001096853,-0.013431083,1,0,0,1.2351,rock_grid_rect_2,6,10,-1,-1,1.235,0.190941789,-0.395438809,1,0,0,5.4066,Peridotite_rect,7,5.407,0,5,0,5,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,7,-0.006157939,-0.000245412,1,0,0,2.3604,rock_grid_rect_2,4,09,-1,-1,2.36,0.191601732,-0.253678725,1,0,0,12.965,Diorite_rect,3,12.965,0,6,0,6,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,8,-0.009295739,-0.011610709,1,0,0,1.1941,rock_grid_rect_2,1,07,-1,-1,1.194,-0.110880195,-0.249309794,1,0,0,21.9568,Basalt_rect,2,21.957,0,7,0,7,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,9,-0.016529083,-0.005325487,1,0,0,1.2619,rock_grid_rect_2,8,09,-1,-1,1.262,0.344875336,-0.406282298,1,0,0,1.8158,Pumice_rect,8,1.816,1,8,0,8,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,10,0.078945584,-0.009486983,1,0,0,1.2365,rock_grid_rect_2,1,06,-1,-1,1.236,-0.389464951,-0.252492693,1,0,0,5.0162,Andesite_rect,1,5.016,1,9,0,9,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,11,0.086374834,-0.000731744,1,0,0,1.2706,rock_grid_rect_2,2,05,-1,-1,1.271,0.073562537,-0.25310652,1,0,0,7.329,Diorite_rect,3,7.329,0,10,0,10,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,12,0.078944736,0.013821835,1,0,0,1.2647,rock_grid_rect_2,7,15,-1,-1,1.265,-0.325043572,-0.251797655,1,0,0,24.6341,Andesite_rect,1,24.634,0,11,0,11,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,13,-0.036857859,0.008013789,1,0,0,0.9942,rock_grid_rect_2,8,14,-1,-1,0.994,0.358089532,-0.387201775,1,0,0,1.1977,Pumice_rect,8,1.198,1,12,0,12,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,14,-0.04076767,-0.010950724,1,0,0,1.2222,rock_grid_rect_2,7,06,-1,-1,1.222,0.054349264,-0.389488305,1,0,0,71.6392,Peridotite_rect,7,71.639,1,13,0,13,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,15,0.024983215,0.007462862,1,0,0,1.7773,rock_grid_rect_2,4,08,-1,-1,1.777,-0.102912903,-0.258880785,1,0,0,12.6185,Basalt_rect,2,12.619,0,14,0,14,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,1,16,0.027760739,0.004615148,1,0,0,1.1437,rock_grid_rect_2,3,16,-1,-1,1.144,-0.398955494,-0.258856879,1,0,0,13.3591,Andesite_rect,1,13.359,0,15,0,15,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,1,,,,,,,,2,12,,,,,,,,,,,8,4.301,0,,,,,,0.390597873,-0.393706089,1,0,0,4.3013,Pumice_rect,0,0,0,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,2,,,,,,,,7,04,,,,,,,,,,,6,99.675,0,,,,,,-0.1044782,-0.406799825,1,0,0,99.6749,Pegmatite_rect,1,0,1,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,3,,,,,,,,8,04,,,,,,,,,,,8,1.259,1,,,,,,0.332636431,-0.389312914,1,0,0,1.2587,Pumice_rect,2,0,2,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,4,,,,,,,,2,16,,,,,,,,,,,4,36.75,0,,,,,,0.450167338,-0.25737203,1,0,0,36.75,Gabbro_rect,3,0,3,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,5,,,,,,,,4,14,,,,,,,,,,,1,6.536,0,,,,,,-0.342648655,-0.270782725,1,0,0,6.5364,Andesite_rect,4,0,4,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,6,,,,,,,,4,16,,,,,,,,,,,4,10.267,1,,,,,,0.342011685,-0.235012224,1,0,0,10.2666,Gabbro_rect,5,0,5,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,7,,,,,,,,6,08,,,,,,,,,,,1,25.239,0,,,,,,-0.320396847,-0.260589684,1,0,0,25.2394,Andesite_rect,6,0,6,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,8,,,,,,,,7,10,,,,,,,,,,,7,6.635,1,,,,,,0.084093391,-0.402363163,1,0,0,6.6346,Peridotite_rect,7,0,7,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,9,,,,,,,,5,10,,,,,,,,,,,5,1.367,1,,,,,,-0.32578871,-0.406171926,1,0,0,1.3673,Obsidian_rect,8,0,8,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,10,,,,,,,,3,11,,,,,,,,,,,3,9.391,1,,,,,,0.165436215,-0.262007226,1,0,0,9.391,Diorite_rect,9,0,9,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,11,,,,,,,,1,05,,,,,,,,,,,3,4.487,0,,,,,,0.165436215,-0.262007226,1,0,0,4.4874,Diorite_rect,10,0,10,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,12,,,,,,,,6,03,,,,,,,,,,,7,8.539,0,,,,,,0.069516669,-0.414591132,1,0,0,8.5392,Peridotite_rect,11,0,11,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,13,,,,,,,,1,16,,,,,,,,,,,3,2.633,0,,,,,,0.098875427,-0.239621396,1,0,0,2.6329,Diorite_rect,12,0,12,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,14,,,,,,,,5,09,,,,,,,,,,,5,1.267,1,,,,,,-0.333944872,-0.394959768,1,0,0,1.2667,Obsidian_rect,13,0,13,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,15,,,,,,,,3,15,,,,,,,,,,,3,16.716,1,,,,,,0.082650418,-0.262648434,1,0,0,16.7164,Diorite_rect,14,0,14,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,1,2,16,,,,,,,,8,02,,,,,,,,,,,8,1.254,1,,,,,,0.299680922,-0.386241828,1,0,0,1.2539,Pumice_rect,15,0,15,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,1,0.022449154,-0.008502579,1,0,0,1.9359,rock_grid_rect_2,7,12,-1,-1,1.936,0.062113359,-0.389041816,1,0,0,28.9049,Peridotite_rect,7,28.905,1,0,0,0,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,2,0.037883335,-7.66754E-05,1,0,0,1.7967,rock_grid_rect_2,8,05,-1,-1,1.797,0.427152761,-0.398618825,1,0,0,1.8115,Pumice_rect,8,1.812,1,1,0,1,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,3,0.121538713,-0.003816817,1,0,0,1.3387,rock_grid_rect_2,1,11,-1,-1,1.339,-0.151572842,-0.395528073,1,0,0,37.1064,Pegmatite_rect,6,37.106,0,2,0,2,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,4,0.13001158,-0.009115262,1,0,0,1.4604,rock_grid_rect_2,3,12,-1,-1,1.46,-0.42408727,-0.237464396,1,0,0,58.998,Andesite_rect,1,58.998,0,3,0,3,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,5,-0.027815586,0.008410094,1,0,0,1.5324,rock_grid_rect_2,6,13,-1,-1,1.532,-0.088642799,-0.419430542,1,0,0,2.6767,Pegmatite_rect,6,2.677,1,4,0,4,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,6,-0.001688046,-0.002074348,1,0,0,1.2317,rock_grid_rect_2,8,16,-1,-1,1.232,0.372526381,-0.383116913,1,0,0,1.5107,Pumice_rect,8,1.511,1,5,0,5,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,7,0.014526706,-0.015476396,1,0,0,1.1768,rock_grid_rect_2,5,04,-1,-1,1.177,-0.341905848,-0.404841275,1,0,0,1.1936,Obsidian_rect,5,1.194,1,6,0,6,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,8,-0.032162984,0.008685642,1,0,0,1.087,rock_grid_rect_2,6,07,-1,-1,1.087,-0.079547967,-0.397456275,1,0,0,8.5025,Pegmatite_rect,6,8.503,1,7,0,7,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,9,0.017486487,-0.014010578,1,0,0,0.9757,rock_grid_rect_2,5,06,-1,-1,0.976,-0.320148468,-0.40134591,1,0,0,1.7155,Obsidian_rect,5,1.716,1,8,0,8,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,10,0.005696615,0.002731917,1,0,0,1.1537,rock_grid_rect_2,3,02,-1,-1,1.154,0.111252764,-0.257641432,1,0,0,2.7133,Diorite_rect,3,2.713,1,9,0,9,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,11,0.108294254,0.018765683,1,0,0,2.4977,rock_grid_rect_2,2,14,-1,-1,2.498,0.324209849,-0.395457713,1,0,0,2.8189,Pumice_rect,8,2.819,0,10,0,10,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,12,0.115257178,-0.012246916,1,0,0,1.6746,rock_grid_rect_2,1,14,-1,-1,1.675,-0.339071867,-0.24023641,1,0,0,2.5104,Andesite_rect,1,2.51,1,11,0,11,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,13,-0.001287164,-0.005404833,1,0,0,1.461,rock_grid_rect_2,7,16,-1,-1,1.461,0.048422835,-0.389431508,1,0,0,2.3275,Peridotite_rect,7,2.328,1,12,0,12,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,14,0.00500963,0.002933333,1,0,0,1.3321,rock_grid_rect_2,4,01,-1,-1,1.332,-0.435168839,-0.262205421,1,0,0,6.4705,Andesite_rect,1,6.47,0,13,0,13,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,15,0.035668437,-0.00924068,1,0,0,1,rock_grid_rect_2,4,15,-1,-1,1,0.154330105,-0.267697313,1,0,0,4.9352,Diorite_rect,3,4.935,0,14,0,14,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,1,16,0.057251061,-0.016380692,1,0,0,1.1927,rock_grid_rect_2,2,09,-1,-1,1.193,-0.143088616,-0.269687059,1,0,0,17.4376,Basalt_rect,2,17.438,1,15,0,15,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,1,,,,,,,,8,10,,,,,,,,,,,8,4.272,1,,,,,,0.32679401,-0.403846402,1,0,0,4.2717,Pumice_rect,0,0,0,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,2,,,,,,,,3,10,,,,,,,,,,,3,10.861,1,,,,,,0.062022654,-0.265631866,1,0,0,10.8612,Diorite_rect,1,0,1,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,3,,,,,,,,5,11,,,,,,,,,,,5,1.293,1,,,,,,-0.43039199,-0.412988875,1,0,0,1.293,Obsidian_rect,2,0,2,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,4,,,,,,,,4,13,,,,,,,,,,,3,29.323,0,,,,,,0.106404622,-0.230742645,1,0,0,29.3227,Diorite_rect,3,0,3,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,5,,,,,,,,7,13,,,,,,,,,,,7,4.272,1,,,,,,0.132617527,-0.385472192,1,0,0,4.2721,Peridotite_rect,4,0,4,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,6,,,,,,,,8,08,,,,,,,,,,,8,1.478,1,,,,,,0.339246453,-0.396159787,1,0,0,1.4783,Pumice_rect,5,0,5,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,7,,,,,,,,1,09,,,,,,,,,,,3,13.704,0,,,,,,0.063145108,-0.252380202,1,0,0,13.7041,Diorite_rect,6,0,6,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,8,,,,,,,,4,05,,,,,,,,,,,2,5.655,0,,,,,,-0.035705397,-0.247831726,1,0,0,5.6552,Basalt_rect,7,0,7,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,9,,,,,,,,5,14,,,,,,,,,,,5,1.205,1,,,,,,-0.325487815,-0.405242242,1,0,0,1.2049,Obsidian_rect,8,0,8,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,10,,,,,,,,6,09,,,,,,,,,,,7,6.634,0,,,,,,0.069062636,-0.395997111,1,0,0,6.6343,Peridotite_rect,9,0,9,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,11,,,,,,,,3,13,,,,,,,,,,,3,20.083,1,,,,,,0.101848094,-0.262460412,1,0,0,20.0831,Diorite_rect,10,0,10,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,12,,,,,,,,2,01,,,,,,,,,,,2,29.124,1,,,,,,-0.097162374,-0.242213355,1,0,0,29.1241,Basalt_rect,11,0,11,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,13,,,,,,,,6,11,,,,,,,,,,,1,21.369,0,,,,,,-0.31679874,-0.234276157,1,0,0,21.3694,Andesite_rect,12,0,12,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,14,,,,,,,,2,06,,,,,,,,,,,2,4.002,1,,,,,,-0.148881022,-0.252600861,1,0,0,4.0024,Basalt_rect,13,0,13,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,15,,,,,,,,1,02,,,,,,,,,,,6,16.399,0,,,,,,-0.171286604,-0.383466848,1,0,0,16.3986,Pegmatite_rect,14,0,14,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,2,2,16,,,,,,,,7,07,,,,,,,,,,,7,1.833,1,,,,,,0.133149804,-0.394148254,1,0,0,1.8328,Peridotite_rect,15,0,15,0,1,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,1,-0.039494324,-0.001815584,1,0,0,3.6709,rock_grid_rect_2,1,03,-1,-1,3.671,0.111716292,-0.259785801,1,0,0,8.3968,Diorite_rect,3,8.397,0,0,0,0,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,2,-0.026475186,-0.010181597,1,0,0,1.2918,rock_grid_rect_2,4,03,-1,-1,1.292,0.109925673,-0.248265923,1,0,0,3.9033,Diorite_rect,3,3.903,0,1,0,1,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,3,0.00092943,-0.013097339,1,0,0,1.4793,rock_grid_rect_2,6,05,-1,-1,1.479,-0.316769536,-0.242547947,1,0,0,4.7504,Andesite_rect,1,4.75,0,2,0,2,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,4,0.10760871,0.000707414,1,0,0,1.5096,rock_grid_rect_2,8,03,-1,-1,1.51,0.436950599,-0.407816484,1,0,0,1.9192,Pumice_rect,8,1.919,1,3,0,3,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,5,0.021413337,0.000500361,1,0,0,1.4174,rock_grid_rect_2,2,11,-1,-1,1.417,-0.062677171,-0.248155636,1,0,0,6.4722,Basalt_rect,2,6.472,1,4,0,4,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,6,0.041602665,-0.004010137,1,0,0,1.2968,rock_grid_rect_2,4,10,-1,-1,1.297,0.337938012,-0.246569231,1,0,0,4.9731,Gabbro_rect,4,4.973,1,5,0,5,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,7,0.101119486,-0.011205716,1,0,0,1.3604,rock_grid_rect_2,3,14,-1,-1,1.36,0.110466343,-0.231507534,1,0,0,3.8694,Diorite_rect,3,3.869,1,6,0,6,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,8,0.068980916,-0.022134315,1,0,0,1.3275,rock_grid_rect_2,8,15,-1,-1,1.328,-0.129336039,-0.257219866,1,0,0,46.8085,Basalt_rect,2,46.808,0,7,0,7,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,9,0.00158454,-0.00194291,1,0,0,1.4426,rock_grid_rect_2,7,08,-1,-1,1.443,0.07156957,-0.399287669,1,0,0,3.3134,Peridotite_rect,7,3.313,1,8,0,8,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,10,0.023939345,-0.009105216,1,0,0,1.3779,rock_grid_rect_2,6,16,-1,-1,1.378,-0.119667901,-0.410939111,1,0,0,4.2091,Pegmatite_rect,6,4.209,1,9,0,9,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,11,-0.01056544,0.006083128,1,0,0,1.4245,rock_grid_rect_2,5,16,-1,-1,1.425,-0.345699565,-0.401976691,1,0,0,1.9062,Obsidian_rect,5,1.906,1,10,0,10,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,12,0.033112335,-0.006513426,1,0,0,1.2357,rock_grid_rect_2,5,02,-1,-1,1.236,-0.332201682,-0.398458269,1,0,0,1.2272,Obsidian_rect,5,1.227,1,11,0,11,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,13,-0.03716685,-0.017499797,1,0,0,1.2024,rock_grid_rect_2,7,14,-1,-1,1.202,0.074166616,-0.392598979,1,0,0,3.4862,Peridotite_rect,7,3.486,1,12,0,12,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,14,-0.003167809,-0.005396907,1,0,0,1.2578,rock_grid_rect_2,2,08,-1,-1,1.258,0.344118669,-0.258018155,1,0,0,4.6737,Gabbro_rect,4,4.674,0,13,0,13,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,15,0.002324931,0.018375312,1,0,0,1.097,rock_grid_rect_2,3,06,-1,-1,1.097,0.091213311,-0.234496138,1,0,0,5.161,Diorite_rect,3,5.161,1,14,0,14,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,1,16,0.046454112,0.001550717,1,0,0,1.1035,rock_grid_rect_2,1,01,-1,-1,1.103,0.098726145,-0.251537153,1,0,0,1.8603,Diorite_rect,3,1.86,0,15,0,15,0,1,,,,,,,,,,,,,
664925f5dac2a21296428a6f,TCN,2024-06-24_11h46.06.168,LearnStrategy,2023.2.3,MacIntel,57.14285714,3,2,1,,,,,,,,3,07,,,,,,,,,,,6,5.711,0,,,,,,-0.064643097,-0.397993215,1,0,0,5.7114,Pegmatite_rect,0,0,0,0,1,
