participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,1,-0.008048503,-0.004568142,1,0,0,2.2279,rock_grid_rect_2,8,05,-1,-1,2.228,0.340445964,-0.407953559,1,0,0,5.4749,Pumice_rect,8,5.475,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,2,0.051635742,-0.001852756,1,0,0,1.0647,rock_grid_rect_2,5,05,-1,-1,1.065,-0.050577799,-0.259556749,1,0,0,4.9486,Basalt_rect,2,4.949,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,3,-0.004885525,-0.006266276,1,0,0,1.1424,rock_grid_rect_2,3,08,-1,-1,1.142,-0.166490343,-0.247393121,1,0,0,6.266,Basalt_rect,2,6.266,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,4,0.019585503,-0.008547635,1,0,0,1.1751,rock_grid_rect_2,6,08,-1,-1,1.175,0.349517144,-0.265161133,1,0,0,3.4483,Gabbro_rect,4,3.448,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,5,-0.003659397,-0.001052517,1,0,0,1.2075,rock_grid_rect_2,4,08,-1,-1,1.208,-0.173003472,-0.261504449,1,0,0,2.8644,Basalt_rect,2,2.864,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,6,-0.017789714,-0.009326172,1,0,0,1.5258,rock_grid_rect_2,4,12,-1,-1,1.526,-0.367569987,-0.24230957,1,0,0,3.3815,Andesite_rect,1,3.381,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,7,0.041975911,-0.002327474,1,0,0,0.958,rock_grid_rect_2,1,02,-1,-1,0.958,0.220564779,-0.411154514,1,0,0,16.2252,Peridotite_rect,7,16.225,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,8,-0.018093533,-0.014466688,1,0,0,0.9758,rock_grid_rect_2,1,10,-1,-1,0.976,-0.353290473,-0.229090712,1,0,0,6.283,Andesite_rect,1,6.283,1,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,9,0.025415039,-0.012551541,1,0,0,0.9334,rock_grid_rect_2,7,14,-1,-1,0.933,-0.331488715,-0.252522786,1,0,0,7.4338,Andesite_rect,1,7.434,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,10,-0.007722982,0.012475586,1,0,0,9.3483,rock_grid_rect_2,5,04,-1,-1,9.348,-0.123212348,-0.259697808,1,0,0,4.4487,Basalt_rect,2,4.449,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,11,-0.014523655,0.002788628,1,0,0,0.8405,rock_grid_rect_2,3,10,-1,-1,0.84,-0.072412109,-0.269704861,1,0,0,2.2808,Basalt_rect,2,2.281,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,12,-0.015017361,-0.007484266,1,0,0,1.0592,rock_grid_rect_2,2,10,-1,-1,1.059,-0.335514323,-0.385251194,1,0,0,5.1338,Obsidian_rect,5,5.134,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,13,-0.027457682,0.005851237,1,0,0,1.0255,rock_grid_rect_2,2,05,-1,-1,1.025,-0.098876953,-0.253491211,1,0,0,1.6796,Basalt_rect,2,1.68,1,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,14,-0.020643446,-0.007972548,1,0,0,0.7834,rock_grid_rect_2,7,13,-1,-1,0.783,-0.369528537,-0.24772678,1,0,0,8.2185,Andesite_rect,1,8.218,0,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,15,-0.034339735,-0.01531033,1,0,0,1.4096,rock_grid_rect_2,6,11,-1,-1,1.41,-0.326812066,-0.386802843,1,0,0,1.9469,Obsidian_rect,5,1.947,0,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,16,-0.012687174,-0.011075846,1,0,0,0.9426,rock_grid_rect_2,8,02,-1,-1,0.943,0.372517904,-0.401727973,1,0,0,7.5185,Pumice_rect,8,7.519,1,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,2,1,,,,,,,,4,01,,,,,,,,,,,3,5.199,0,,,,,,0.113891602,-0.256437174,1,0,0,5.1988,Diorite_rect,0,0,0,0,1,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,2,2,,,,,,,,5,16,,,,,,,,,,,5,2.079,1,,,,,,-0.329654948,-0.413237847,1,0,0,2.0793,Obsidian_rect,1,0,1,0,1,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,2,3,,,,,,,,6,05,,,,,,,,,,,6,6.168,1,,,,,,-0.071937391,-0.400534397,1,0,0,6.1676,Pegmatite_rect,2,0,2,0,1,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,2,4,,,,,,,,8,06,,,,,,,,,,,8,2.346,1,,,,,,0.376139323,-0.401931424,1,0,0,2.3462,Pumice_rect,3,0,3,0,1,,,,,,,,
5ef4d8b87faaa00c0dea0c4e,TCN,2024-06-11_10h09.40.286,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,2,5,,,,,,,,1,05,,,,,,,,,,,3,3.899,0,,,,,,0.164591471,-0.26023763,1,0,0,3.8986,Diorite_rect,4,0,4,0,1,,,,,,,,
